iso_code,continent,country,last_updated_date,total_cases,total_deaths,total_cases_per_million,population
VCT,North America,Saint Vincent and the Grenadines,2024-08-04,9674,124,94785.52,103959
WSM,Oceania,Samoa,2024-08-04,17057,31,79235.75,222390
SMR,Europe,San Marino,2024-08-04,25292,126,741418.25,33690
STP,Africa,Sao Tome and Principe,2024-08-04,6771,80,29918.74,227393
SAU,Asia,Saudi Arabia,2024-08-04,841469,9646,26152.596,36408824
SEN,Africa,Senegal,2024-08-04,89485,1971,5069.656,17316452
SRB,Europe,Serbia,2024-08-04,2583470,18057,380413.34,6871547
SYC,Africa,Seychelles,2024-08-04,51886,172,413328.88,107135
SLE,Africa,Sierra Leone,2024-08-04,7979,125,964.019,8605723
SGP,Asia,Singapore,2024-08-04,3006155,2024,532073.56,5637022
SXM,North America,Sint Maarten (Dutch part),2024-08-04,11051,92,262101.84,44192
SVK,Europe,Slovakia,2024-08-04,1878002,21227,343127.25,5643455
SVN,Europe,Slovenia,2024-08-04,1356582,10083,641340.2,2119843
SLB,Oceania,Solomon Islands,2024-08-04,25954,199,33228.562,724272
SOM,Africa,Somalia,2024-08-04,27334,1361,1535.455,17597508
ZAF,Africa,South Africa,2024-08-04,4072765,102595,65291.246,59893884
KOR,Asia,South Korea,2024-08-04,34571873,35934,667636.06,51815808
SSD,Africa,South Sudan,2024-08-04,18823,147,1707.894,10913172
ESP,Europe,Spain,2024-08-04,13980340,121852,292302.16,47558632
LKA,Asia,Sri Lanka,2024-08-04,672798,16907,29463.502,21832150
SDN,Africa,Sudan,2024-08-04,63993,5046,1295.842,46874200
SUR,South America,Suriname,2024-08-04,82501,1406,132388.6,618046
SWE,Europe,Sweden,2024-08-04,2755181,27399,262715.12,10549349
CHE,Europe,Switzerland,2024-08-04,4457868,14170,507026.47,8740471
SYR,Asia,Syria,2024-08-04,57423,3163,2556.432,22125242
TJK,Asia,Tajikistan,2024-08-04,17786,125,1746.769,9952789
TZA,Africa,Tanzania,2024-08-04,43230,846,668.039,65497752
THA,Asia,Thailand,2024-08-04,4799180,34715,66901.21,71697024
TGO,Africa,Togo,2024-08-04,39530,290,4348.858,8848700
TKL,Oceania,Tokelau,2024-08-04,80,0,34602.074,1893
TON,Oceania,Tonga,2024-08-04,16976,12,161594.62,106867
TTO,North America,Trinidad and Tobago,2024-08-04,191496,4390,128012.02,1531043
TUN,Africa,Tunisia,2024-08-04,1153361,29423,95167.016,12356116
TUR,Asia,Turkey,2024-08-04,17004718,101419,195325.25,85341248
TKM,Asia,Turkmenistan,2024-08-04,0,0,0,6430777
TCA,North America,Turks and Caicos Islands,2024-08-04,6805,40,148357.28,45726
TUV,Oceania,Tuvalu,2024-08-04,2943,1,293947.25,11335
UGA,Africa,Uganda,2024-08-04,172154,3632,3638.641,47249588
UKR,Europe,Ukraine,2024-08-04,5532777,109920,134785.47,39701744
ARE,Asia,United Arab Emirates,2024-08-04,1067030,2349,104180.94,9441138
GBR,Europe,United Kingdom,2024-08-04,24974629,232112,366308,67508936
USA,North America,United States,2024-08-04,103436829,1193165,302859.5,338289856
VIR,North America,United States Virgin Islands,2024-08-04,25389,132,293443.22,99479
URY,South America,Uruguay,2024-08-04,1041346,7682,307099,3422796
UZB,Asia,Uzbekistan,2024-08-04,175081,1016,5011.054,34627648
VUT,Oceania,Vanuatu,2024-08-04,12019,14,38391.758,326744
VAT,Europe,Vatican,2024-08-04,26,0,50682.26,808
VEN,South America,Venezuela,2024-08-04,552695,5856,19590.072,28301700
VNM,Asia,Vietnam,2024-08-04,11624000,43206,116612.4,98186856
WLF,Oceania,Wallis and Futuna,2024-08-04,3760,9,326928.1,11596
YEM,Asia,Yemen,2024-08-04,11945,2159,312.509,33696612
ZMB,Africa,Zambia,2024-08-04,349842,4077,17359.357,20017670
ZWE,Africa,Zimbabwe,2024-08-04,266386,5740,16577.57,16320539
